Raw	Instrument	LC_column	Celltype	Label	Set	Real_single_cell	LCMS_batch	Sort_day	Digest	id
wJD1146	Q-Exactive	AUR2-15075C18A	U-937	0	1	TRUE	A	A	A	id1
wJD1146	Q-Exactive	AUR2-15075C18A	Melanoma	4	1	TRUE	A	A	A	id2
wJD1146	Q-Exactive	AUR2-15075C18A	PDAC	8	1	TRUE	A	A	A	id3
wJD1147	Q-Exactive	AUR2-15075C18A	Melanoma	0	2	TRUE	A	A	A	id4
wJD1147	Q-Exactive	AUR2-15075C18A	PDAC	4	2	TRUE	A	A	A	id5
wJD1147	Q-Exactive	AUR2-15075C18A	Neg	8	2	TRUE	A	A	A	id6
wJD1148	Q-Exactive	AUR2-15075C18A	PDAC	0	3	TRUE	A	A	A	id7
wJD1148	Q-Exactive	AUR2-15075C18A	U-937	4	3	TRUE	A	A	A	id8
wJD1148	Q-Exactive	AUR2-15075C18A	Melanoma	8	3	TRUE	A	A	A	id9
wJD1149	Q-Exactive	AUR2-15075C18A	U-937	0	4	TRUE	A	A	A	id10
wJD1149	Q-Exactive	AUR2-15075C18A	Melanoma	4	4	TRUE	A	A	A	id11
wJD1149	Q-Exactive	AUR2-15075C18A	PDAC	8	4	TRUE	A	A	A	id12
wJD1150	Q-Exactive	AUR2-15075C18A	Melanoma	0	5	TRUE	A	A	A	id13
wJD1150	Q-Exactive	AUR2-15075C18A	PDAC	4	5	TRUE	A	A	A	id14
wJD1150	Q-Exactive	AUR2-15075C18A	U-937	8	5	TRUE	A	A	A	id15
wJD1151	Q-Exactive	AUR2-15075C18A	PDAC	0	6	TRUE	A	A	A	id16
wJD1151	Q-Exactive	AUR2-15075C18A	U-937	4	6	TRUE	A	A	A	id17
wJD1151	Q-Exactive	AUR2-15075C18A	Melanoma	8	6	TRUE	A	A	A	id18
wJD1152	Q-Exactive	AUR2-15075C18A	Neg	0	7	TRUE	A	A	A	id19
wJD1152	Q-Exactive	AUR2-15075C18A	Melanoma	4	7	TRUE	A	A	A	id20
wJD1152	Q-Exactive	AUR2-15075C18A	PDAC	8	7	TRUE	A	A	A	id21
wJD1153	Q-Exactive	AUR2-15075C18A	Melanoma	0	8	TRUE	A	A	A	id22
wJD1153	Q-Exactive	AUR2-15075C18A	PDAC	4	8	TRUE	A	A	A	id23
wJD1153	Q-Exactive	AUR2-15075C18A	U-937	8	8	TRUE	A	A	A	id24
wJD1154	Q-Exactive	AUR2-15075C18A	PDAC	0	9	TRUE	A	A	A	id25
wJD1154	Q-Exactive	AUR2-15075C18A	U-937	4	9	TRUE	A	A	A	id26
wJD1154	Q-Exactive	AUR2-15075C18A	Neg	8	9	TRUE	A	A	A	id27
wJD1155	Q-Exactive	AUR2-15075C18A	U-937	0	10	TRUE	A	A	A	id28
wJD1155	Q-Exactive	AUR2-15075C18A	Melanoma	4	10	TRUE	A	A	A	id29
wJD1155	Q-Exactive	AUR2-15075C18A	PDAC	8	10	TRUE	A	A	A	id30
wJD1156	Q-Exactive	AUR2-15075C18A	Melanoma	0	11	TRUE	A	A	A	id31
wJD1156	Q-Exactive	AUR2-15075C18A	PDAC	4	11	TRUE	A	A	A	id32
wJD1156	Q-Exactive	AUR2-15075C18A	U-937	8	11	TRUE	A	A	A	id33
wJD1157	Q-Exactive	AUR2-15075C18A	U-937	0	12	TRUE	A	A	A	id34
wJD1157	Q-Exactive	AUR2-15075C18A	Melanoma	4	12	TRUE	A	A	A	id35
wJD1157	Q-Exactive	AUR2-15075C18A	PDAC	8	12	TRUE	A	A	A	id36
wJD1158	Q-Exactive	AUR2-15075C18A	U-937	0	13	TRUE	A	A	A	id37
wJD1158	Q-Exactive	AUR2-15075C18A	Melanoma	4	13	TRUE	A	A	A	id38
wJD1158	Q-Exactive	AUR2-15075C18A	PDAC	8	13	TRUE	A	A	A	id39
wJD1159	Q-Exactive	AUR2-15075C18A	Melanoma	0	14	TRUE	A	A	A	id40
wJD1159	Q-Exactive	AUR2-15075C18A	PDAC	4	14	TRUE	A	A	A	id41
wJD1159	Q-Exactive	AUR2-15075C18A	Neg	8	14	TRUE	A	A	A	id42
wJD1160	Q-Exactive	AUR2-15075C18A	Melanoma	0	15	TRUE	A	A	A	id43
wJD1160	Q-Exactive	AUR2-15075C18A	PDAC	4	15	TRUE	A	A	A	id44
wJD1160	Q-Exactive	AUR2-15075C18A	Neg	8	15	TRUE	A	A	A	id45
wJD1161	Q-Exactive	AUR2-15075C18A	PDAC	0	16	TRUE	A	A	A	id46
wJD1161	Q-Exactive	AUR2-15075C18A	U-937	4	16	TRUE	A	A	A	id47
wJD1161	Q-Exactive	AUR2-15075C18A	Melanoma	8	16	TRUE	A	A	A	id48
wJD1162	Q-Exactive	AUR2-15075C18A	PDAC	0	17	TRUE	A	A	A	id49
wJD1162	Q-Exactive	AUR2-15075C18A	U-937	4	17	TRUE	A	A	A	id50
wJD1162	Q-Exactive	AUR2-15075C18A	Melanoma	8	17	TRUE	A	A	A	id51
wJD1163	Q-Exactive	AUR2-15075C18A	U-937	0	18	TRUE	A	A	A	id52
wJD1163	Q-Exactive	AUR2-15075C18A	Melanoma	4	18	TRUE	A	A	A	id53
wJD1163	Q-Exactive	AUR2-15075C18A	PDAC	8	18	TRUE	A	A	A	id54
wJD1164	Q-Exactive	AUR2-15075C18A	U-937	0	19	TRUE	A	A	A	id55
wJD1164	Q-Exactive	AUR2-15075C18A	Melanoma	4	19	TRUE	A	A	A	id56
wJD1164	Q-Exactive	AUR2-15075C18A	PDAC	8	19	TRUE	A	A	A	id57
wJD1165	Q-Exactive	AUR2-15075C18A	Melanoma	0	20	TRUE	A	A	A	id58
wJD1165	Q-Exactive	AUR2-15075C18A	PDAC	4	20	TRUE	A	A	A	id59
wJD1165	Q-Exactive	AUR2-15075C18A	U-937	8	20	TRUE	A	A	A	id60
wJD1166	Q-Exactive	AUR2-15075C18A	Melanoma	0	21	TRUE	A	A	A	id61
wJD1166	Q-Exactive	AUR2-15075C18A	PDAC	4	21	TRUE	A	A	A	id62
wJD1166	Q-Exactive	AUR2-15075C18A	U-937	8	21	TRUE	A	A	A	id63
wJD1167	Q-Exactive	AUR2-15075C18A	PDAC	0	22	TRUE	A	A	A	id64
wJD1167	Q-Exactive	AUR2-15075C18A	U-937	4	22	TRUE	A	A	A	id65
wJD1167	Q-Exactive	AUR2-15075C18A	Melanoma	8	22	TRUE	A	A	A	id66
wJD1168	Q-Exactive	AUR2-15075C18A	PDAC	0	23	TRUE	A	A	A	id67
wJD1168	Q-Exactive	AUR2-15075C18A	U-937	4	23	TRUE	A	A	A	id68
wJD1168	Q-Exactive	AUR2-15075C18A	Melanoma	8	23	TRUE	A	A	A	id69
